FoodName,Base,ACAR,ALCO,BCAR,BCRYPT,BIOT,CA,CHO,CHOL,CL,CMON,CN3,CN6,CU,ENGFIB,FAT,FE,FOLT,FRUCT,GLUC,HFE,I,K,KCALS,KJ,LACT,MALT,MG,MILK,MN,NA,NCF,NHFE,NIACEQU,NMILK,OSUG,P,PANTO,PROT,RET,RIBO,SATFA,SE,STAR,SUCR,THIA,TOTCAR,TOTNIT,TOTSUG,TRANS,VITA,VITB12,VITB6,VITC,VITD,VITE,WATER,ZN,Fruit,DriedFruit,FruitJuice,SmoothieFruit,Tomatoes,TomatoPuree,Brassicaceae,YellowRedGreen,Beans,Nuts,OtherVeg,Beef,Lamb,Pork,ProcessRedMeat,OtherRedMeat,Burgers,Sausages,Offal,Poultry,ProcessedPoultry,GameBirds,WhiteFish,OilyFish,CannedTuna,Shellfish,CottageCheese,CheddarCheese,OtherCheese,AllCheese,AllFish,AllMeat,AllAnimal,CO2e,Units,FoodAisle
"Alcoholic drinks",265.362823764724,0,14.3445983007951,0.180576592253389,0,2.90980491040349,18.2532969445532,6.63136688627828,0.0622381773042942,50.5931125239547,0.00676335866642767,0.00012876864269854,0.000364844487645863,0.0433183427788283,0,0.0317929811131831,0.563911814586952,20.6557338066582,0.611135656657278,1.99556319010769,0,19.1835333788515,146.529155498945,128.390517279743,534.048705304399,0.00150230083148296,3.63705490258159,20.7551175819514,0.00174696448352388,0.0730274958233884,19.6995127201715,16.585983875347,0.563911814586952,1.85178732926973,6.62913059449067,0.00283999062421769,43.2267917552107,0.0469851006286529,0.677320643072611,0.373429063825765,0.0818799660842267,0.02005700507909,0,0.00048932730408183,0.382750172121856,4.29228808995133e-05,0.180576592253389,0.0289479894276796,6.6308775589742,0.00107307202248783,0.403475080455424,0.0114591322310471,0.165433617311882,0,0,0.0012876864269854,241.38350840358,0.0447391507207278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.787426101194,"Grams","Alcoholic drinks"
"Bacon, ham, pork",45.9880564613859,1.52989045762022,0,5.62526919842814,0.0161230187881345,1.79888946899683,19.4895892349111,1.82285914718474,28.6308709380116,482.26625285513,2.37733980603944,0.0863992962314778,0.75132574901019,0.0430054099645369,0.261569167539938,5.71503391560924,0.416977651502777,1.72426351550289,0.00827030507567858,0.148685907754022,0.165648403371058,2.93635078871757,133.20733808608,96.2239181923233,401.787988076405,0.0182778611673805,0.185440214249993,9.37958325434617,0.324548406152769,0.033336187868857,337.206415700073,2.87898050223666,0.250811642098425,4.1292959119557,0.0779458714831173,0.00179479318964174,105.577922415852,0.498674904881715,9.49617595970459,0.220753953714584,0.0726471355249496,2.09611757178724,5.03928943341515,1.41886809708941,0.0468045676645591,0.246636915883559,6.39754307214195,1.52218756343727,0.402494277635886,0.0395139279737478,1.28235430045971,0.380279803342964,0.17565816860687,0.910305907446402,0.339497223049273,0.131345611594339,27.8709394524767,0.881883518734975,0,0,0,0,0.0454375984029244,0.0246994506691949,0.0608171309128998,0.0452517099806261,0,0,0.170402548719068,0.0742028724422428,0,9.35039348890109,20.0995259027971,0,0,14.976400182862,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5005224470024,44.5005224470024,231.993641586164,"Grams","Bacon, ham, pork"
"Beef and lamb",45.9096694850611,8.37339929728971,0,41.2701151319509,0.52040633755619,0.816438984942065,13.3997366805452,2.57769823433536,28.7939378345204,110.115363495875,1.66707671326053,0.0619484518719585,0.213369815649957,0.0363548216852318,0.202200285570505,4.42414216062419,0.851153608448135,6.79681919823038,0.0704509778802086,0.218519720384135,0.297611573868734,4.53017465813046,127.467260326414,86.9092112385704,363.950506551538,0.0405246084287403,0.0133570540176325,9.92953416642319,0.410580412734521,0.0380705678320629,82.0980405193078,2.95062778653761,0.552925744185462,3.7081550444341,0.0401117421935297,0.00702069828600251,75.7878439601805,0.261529938230997,9.35380084962838,3.59558160462443,0.0730361417981653,1.92500425089745,3.42437775462102,2.11913855581098,0.100634667887256,0.0400254506638686,45.646524137268,1.49916527692459,0.450189750076443,0.207582355205753,11.2011257245309,0.839995707165411,0.120639615404738,0.50186705326651,0.222770084291452,0.144792043350112,28.9628944103083,1.79746493679482,0.00290715437686136,0,3.74917677305449e-05,0,1.06672394579106,0.403849430044219,0.148533318029248,0.260471108074332,0.247895574502961,0,1.81958572096213,22.244989425107,6.81250752193375,0,0.0803048908843968,0,4.05680549272512,0,0,0,0,0,0,0,0,0,0,0.0394525990770752,0.596094238412092,0.635546837489168,0,33.1946073306502,33.8301541681394,1056.68606631711,"Grams","Beef and lamb"
"Bread, pasta, cereal",225.642482829713,1.15552509167055,0,71.0994393714878,6.38383871000453,6.73565852615903,267.523759092612,103.397425321377,7.26850595643137,1215.49668244969,2.61605557880925,0.233868478166215,1.8948364227552,0.377493276329119,6.5843226301226,8.68787113442665,4.9107957866965,81.9751331730738,1.32526429499054,1.18673774175097,0.000657685193978514,11.4169373376862,409.2900863755,541.036434189598,2295.63413415061,0.36140944843952,3.67079802565372,81.0616215575794,6.52321137558607,1.81936657453132,697.526579212062,13.3281799810491,4.91009854500934,9.74002294192299,3.35137289694585,0.362072702322035,319.400903272977,1.19014272648102,18.8073569071746,21.5831006950884,0.364834683093163,2.69654291810635,13.1097586329103,93.4935170613395,2.97308662821918,0.57633705947244,74.8219682146816,3.20884283412931,9.87833087060774,0.112361703802779,34.0789869285239,0.364649447409314,0.368230144270103,3.00667655688401,0.348267268730195,1.30534763680349,90.7813380907459,2.28119828404589,0.354090608591705,1.59169585620586,0.000347781684449112,0,2.44027123274844,1.37451830153878,0,0.493934520019203,0.250786258997073,0.356782899236032,1.00911509549787,0.183162334770631,0,0.00376270294101685,1.15363043698847,0,0,0.0041310794527248,0,0.281238538098166,0,0,0,0,0.162946623607416,0.0605461575825837,0,1.25372922172736,2.76139474345144,4.0151239651788,0.223492781189999,1.625925092251,5.86454183861981,150.15597808301,"Grams","Bread, pasta, cereal"
"Cakes, biscuits, puddings",49.1727357173134,0.452387573694774,0.00609682322017086,19.1716529556619,0.127699105043389,1.9463237140067,44.8426460283328,25.5103574415293,11.5523543517347,139.710434100606,2.70537204991438,0.140664039901929,0.819676479294955,0.0748556126025039,0.947317271492547,7.67677369495417,0.721372748827955,6.66776036940911,0.946038711744928,1.32663021606055,0,5.46839203888347,97.9722680768292,175.428551860847,737.61978292852,0.644121966414001,0.492114251862898,13.4229917864539,1.89150578335308,0.238509976056091,129.520395932391,2.96950791055947,0.721372748827955,1.12426615846416,9.79915136028395,0.0994587357979648,66.6157181194281,0.215263023509274,2.66396024826085,24.2092890527785,0.049700933119571,3.49075460813927,1.74285479075891,13.8212868469399,8.18398650875062,0.0619929077573266,19.4688987046307,0.455306986796461,11.6908401824698,0.077154216193181,27.4679619582732,0.0723444698615543,0.0412564954742391,0.376157868396767,0.0983714236210397,0.897060011488437,12.3084255213643,0.326384116920033,1.5152921191656,1.28680496243797,0.162852684688536,0,0,0,0,0.0206926376733962,0,0.234408833997999,0.00670361620012448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153645232305215,0.395747126627319,0.411111649857841,0,0,0.411111649857841,25.166606140121,"Grams","Cakes, biscuits, puddings"
"Cheese and butter",41.6050044477077,6.0839099870999,0,119.657703621791,0,0.8889642114138,150.140731673753,0.287828711505429,32.4422272136415,364.427356750462,6.68082273152596,0.443394718420423,2.04517085447991,0.089835836018543,0.000267861137061386,19.8434922977926,0.0696284788229768,7.9581437091409,0.000140502284151905,0.000171726395304625,0.000184611206455449,10.1772814039102,26.0884717140618,201.433705564984,831.387190265307,0.24868868706001,2.07630385599505e-05,6.29716687772008,0.248377428390714,0.00567500236737841,247.178271086498,2.63833173072489,0.0694438676165214,1.46193136928323,0.00122490910071767,0.000528810378336251,111.284050776114,0.107890492742791,5.45009197790806,169.966049555656,0.0997866884144063,9.08425015786873,1.37555387992187,0.0384176475943132,0.000355283778637411,0.00842632216913571,122.742315934498,0.857285276720693,0.249973480863919,0.448535268455194,190.537412681425,0.494232607732748,0.0311622625749497,0.00146859409702652,0.629343039501973,1.77208200232263,14.7683329521,0.790569215321159,0.001561205557636,0,0,0,0,0,0,0.000780602778818001,0,0,0.000780602778818001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924457251873756,14.8594091639805,6.68633891792914,22.4702053337834,0,0,22.4702053337834,383.559513590472,"Grams","Cheese and butter"
"Chicken and turkey",61.3231732989747,3.70132948945238,0,33.002408111419,1.99111671961085,1.38490253575884,11.9732999330125,2.62865865535575,46.9123970897149,147.297159386651,1.85620114527958,0.146276523080766,0.742113238786393,0.0447463902672618,0.221903913582225,4.27062522909569,0.45034988036398,5.81740680671466,0.133470523058284,0.140572272698459,0.136034266921738,4.23151219491734,204.359303255769,106.047772353251,445.527867331686,0.0662079420325231,0.0359011475465228,16.8252583137952,0.310900922235916,0.0467381073165432,108.267082550558,3.61735240984459,0.309765498957208,8.70267663813235,0.238644543359815,0.0268322895585976,134.317128584885,0.751901540504782,14.4388205416895,4.71492220560668,0.0834979172778715,1.07289878900437,8.06521138404807,2.07425180810367,0.151974309972247,0.0582763630838422,35.8508162223971,2.13495620479162,0.548049786759683,0.0444867799355031,10.6857812850336,0.142112857065402,0.247802545374439,0.326100244946813,0.162441133927065,0.434969865849734,38.7705767027728,0.584621602868027,0.087914233854152,0.00187428946814086,0.0595697424679092,0,0.681899543883682,0.263067778271491,0.0390687752352116,0.279756751497843,0,0.0488752403589046,1.48901351183694,0,0,0,0.015309292228827,0,0,0,0,48.1691467955696,0.0126639226921455,0,0,0,0,0,0,0.0246237330848448,0.0481747542817066,0.0727984873665515,0,48.1971200104905,48.2699184978571,201.971421549153,"Grams","Chicken and turkey"
"Chocolate",13.653302550914,0.0538524776859544,0,3.63299279041808,0,0.614649898340127,21.2847035903267,8.3757239112382,2.0412210853778,29.0731653837986,1.18721667554302,0.0111802224570061,0.163420436990108,0.0399021293452634,0.187701792453509,3.58131823268914,0.249677422673804,1.33859480073459,0.0855983472302651,0.362077453122457,0,4.60551813018491,49.9515865481922,66.9024615751905,280.384832148623,0.936829330813716,0.26212918071985,6.80949687947221,1.07772162395033,0.058702957514576,16.0478533919256,0.853391466986368,0.249677422673804,0.294459344157834,6.62114419326174,0.3237815923489,24.489399895932,0.0909388647388385,0.814435858852745,5.68458125625966,0.0433475435009562,2.00255917555972,0.406706879232081,0.678180510422285,5.72966884572631,0.0130710178553053,3.66558003761874,0.132048593648374,7.69936552486788,0.0224430191039925,6.31658677768386,0.103575242437638,0.0119220434255442,0.00307145045185342,0.02025435686022,0.204269465739182,0.507333014662174,0.126559338345207,0,0.163849435654367,0,0,0,0,0,0,0,0.358870158853829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.6137113945363,"Grams","Chocolate"
"Coffee",390.522160648033,0,0,1.25939077060473,0,2.65193350627865,21.3790945771962,1.14834952885224,1.06355560865411,15.7365431443067,0.062004692634947,0.00178934417949218,0.00799754404666602,0.0215466027197449,0,0.273439900842462,0.123781264616303,0.795353570504517,0.0147074974364329,0.0132643086890395,0,3.60846311732893,123.619184359096,9.81412545263264,41.3992931065073,0.596458575744355,0.00182578772256425,10.2444341315975,0.68755745675252,0.00193599143369009,8.83471751555641,24.4221457225973,0.123781264616303,0.86245514261122,0.387432703965102,0.0114007521724103,22.5761855347488,0.0686819728009681,0.754765592848962,2.30338145151947,0.0358670796513745,0.174036392339408,0.189496916649494,0.0720625504519867,0.437333238952817,0.00397498555068694,1.25939077060473,0.11818675154474,1.07628697840026,0.00950427879208931,2.52190247186147,0.103524128470416,0.0170718852608759,0.150978699140436,0,0.0159212830075985,386.259698855067,0.111965188550275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.365512453624,"Grams","Coffee"
"Commercial toddlers foods and drinks",0.104794841094414,0.255904039240587,0,0.326214307447778,0.00633425839704424,0.00193345699184516,0.0482823305871777,0.0368371994413497,9.95384181956786e-05,0.169154752170176,0.0019725726394237,0.000163113174139023,0.0021345159858504,0.000181073356852005,0.00191778051056415,0.00663309888689343,0.00117333181700428,0.0777634347173581,0.00732019952808379,0.00264616781274449,7.7556214386736e-05,0.0105111968827638,0.250117193230108,0.21048457825294,0.890430312130167,0.000411726795807875,3.16712919852212e-05,0.0247089852803178,0.00452341170076834,0.000647967465404364,0.154932441403884,0.00653142885839833,0.00109577560261754,0.00290442635017143,0.00854883640161838,0,0.0664470525480029,0.000228334938442927,0.00361325880567206,0.0193647436072828,0.000136177155075075,0.00219759308457244,0.00391885793237409,0.023764951338963,0.00265601965589979,0.000437448807312062,0.457333456266593,0.000562057264143275,0.0130722481023867,1.93345699184516e-05,0.0960092702115179,3.16712919852212e-05,6.66605312436315e-05,0.0104831976471082,0.000353964631708584,0.00204179507037333,0.056485747583217,0.000492475790167667,0.0633425839704424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104794841094414,"Grams","Commercial toddlers foods and drinks"
"Cooked vegetables",155.151992612591,520.302841567801,0,2076.62743063542,70.048644042738,2.22818286523125,40.26681768696,8.55440807462303,1.66761078252355,253.550880851736,0.64722879467375,0.135278643191926,0.415505482317487,0.0960165501919556,2.36834028356847,1.82937184929592,0.755715189953986,36.129253658942,1.46701279693216,1.55787423850835,0.00835553593764624,4.49042109852375,279.684045585689,58.6204775973452,247.371442246291,0.0776212126755509,0.035033092719774,18.0007535936646,4.6095917842517,0.244165788961368,138.737003650876,9.82824398557362,0.745629835576025,1.57646482514421,0.619853390855495,0.140645470040863,56.8980926622187,0.382667325859463,2.5632124472619,2.65237705176686,0.0794302180019977,0.407187452155763,2.06142859405616,2.9734208818295,1.9468168115795,0.131924953290831,2371.96875327644,0.439240042544804,5.22947474477124,0.0188682713119865,398.214990231103,0.018415786269787,0.139598262626016,21.9671317311598,0.0124723958851842,1.08269892022407,136.52877345799,0.500433992163017,0.0248156824706118,0.000516806272712883,0.00163076833169187,0,21.5262198297806,1.8425248189926,24.4445685965364,28.4647638215962,0.423942221999595,0.0343010270702077,51.9967557342978,0.0303418226229478,0,0,0,0,0,0,0.0302449592373239,0.0714483899474317,0,0,0,0,0,0,0,0.105967802591391,0.0497840668225324,0.155751869413923,0,0.132035171807703,0.287787041221626,36.5068650546756,"Grams","Cooked vegetables"
"Dietary supplements",1.0282811554323,0,0,19.1910457409138,0,7.31033069709988,19.394760512984,0.0261545190566688,0.643548220349836,0,0.0580980345466585,0.0498348090730069,0.0351206638865722,0.0679813175726102,0.00098086332785054,0.1808107739679,1.2569099047456,47.2031389594559,0.00494444603182041,0.00190172423792618,0,22.3716642695281,0.737589791846116,1.74549279712778,7.10613099168139,0,0.0065419560202303,7.60065983904144,0.00611656619501084,0.111284773452659,0.005738358305178,2.14961602779073,1.2569099047456,3.0466586294874,0.0184434420735457,0.00136404811296227,3.38648348636781,1.45437099376751,0.00104804344677337,87.6155470463253,0.536767667745714,0.0260055644633765,4.28727064423302,0.0015945107881123,0.00980783386561741,0.637511848616303,19.1910457409138,0.000247919153398998,0.0245600082685566,0,90.8136876618815,4.84593628190877,0.979082563497938,41.4175732524626,2.68517045667661,1.99278713126082,0.803169773536954,1.05858736088106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Capsule","Dietary supplements"
"Eggs",28.2925632408745,0.0248072147479447,0,2.96434409731233,0.0609400223582591,4.69858019852568,17.2817681442782,0.611899589215789,98.3077303769465,75.6537073770975,1.32973019825332,0.0575781616338322,0.470756033735744,0.0201988789479966,0.0363864637469495,3.33575207333537,0.516826670160582,9.03175743725634,0.00738562106974752,0.00914327204643064,0.00144922875391037,14.0448159713395,40.1966307361334,47.12337145598,196.182895314392,0.0440543725047381,0.00799302751567863,3.86057470213181,0.0809518882699936,0.012703248499336,58.4816539051626,1.82421958522612,0.515377441406671,0.997494646238347,0.0644985264845202,0.00252491039682877,55.2251530784898,0.335077665246765,3.70290855710985,38.4532491620367,0.117471837534064,0.958030956240208,6.39064315801469,0.46646404176725,0.073738512766885,0.0226962593543641,3.0068456667448,0.597082921072247,0.145450414754514,0.0151279192743357,38.9535891887352,0.562152541601947,0.0276797127399987,0.0563738548426585,0.793383312669308,0.497920927483155,20.2674315982343,0.349763078709115,0.0108651300930902,0,0,0,0.0766035954977795,0,0.0231205318871707,0.0201125525254498,0,0,0.101447788586585,0,0,0,0.212768519858399,0,0,0,0,0,0,0,0,0,0,0,0,0.109355165710189,0.104272267072017,0.213627432782206,0,0.212768519858399,0.426395952640605,95.8764236825136,"Grams","Eggs"
"Fish",39.9687270592731,0.10464268900388,0,3.32792844629954,0.0965987945466531,1.24957120541163,17.7817511163428,2.51705642894466,23.680654901148,172.347564500417,1.36623890887201,0.437523515481538,0.38344137729846,0.0502264496908596,0.100984035102118,3.32167443697685,0.36308599833387,3.63934097506975,0.0170365224842602,0.0286357476838624,0.12616671559243,28.4771874206448,113.686212406241,68.4638752050648,286.919631781246,0.055606982392593,0.0605175776335404,10.9170601638087,0.178144081663272,0.030441710757497,119.632812912736,2.53266434389353,0.238711691082795,3.3433314331478,0.0623720907478425,0.00507320125859868,75.890230199927,0.194229254692694,7.27961312930765,7.54888221255774,0.0481067275539636,0.750624465425803,13.5565219821998,2.27770491398304,0.0706141541991834,0.0372093888281293,3.44992821967999,1.16461080496581,0.240933116788067,0.023950613341755,8.1197833962302,1.27620524176772,0.0757917124891487,0.119713753798134,0.959323498944777,0.682881293607491,26.4342389281649,0.295976929092939,0.000147457873244976,0,0.00277237003071448,0,0.0916406809448538,0.062378086671681,0.0186424569300661,0.016036402428098,0.0073081560593607,0,0.137218175840785,0,0,0,0,0,0,0.0117888787564808,0,0.0188622060103693,0,0,11.1556396082698,10.0963226797981,4.85303999847202,3.56539972798192,0,0.07597019442893,1.77024425035397e-05,0.0759878968714335,29.6704020145219,0.0306510847668501,29.7770409961602,107.595813243563,"Grams","Fish"
"Fruit, fruit juice",186.871499548256,10.1430032513847,0,69.3326004998086,36.818251253144,2.502395853123,21.8235073394894,23.2286156476338,0,132.41464873237,0.29100827636807,0.0440610286883966,0.127548542066533,0.104335349803199,1.74750164701291,0.721793493379933,0.469497608785594,28.8827182040176,9.37289263789314,7.44983116526661,0,3.49942804198526,352.170397768113,99.3213957696957,422.843326035993,0,0.00163899894621647,22.6667579727976,15.8998546628636,0.284947622297819,15.5095048619098,11.6623873032706,0.469497608785594,0.980264620257471,6.42938623125955,0.0237732707857376,30.7744805855297,0.424216984756064,1.45263433733812,0,0.0580122617727123,0.155249408510756,0.301993797690061,0.900258199566628,5.4713664886897,0.23799703143958,92.6449783789764,0.226277189953941,22.3283219568588,0.00016480254508211,15.341454910273,0.0252586372810639,0.221332753110969,39.4040337403081,0,0.517483003364196,155.695574451596,0.166438242196781,123.587532011788,2.80990149225635,58.1930387120282,1.0391672273396,0.553367877641048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.972358752451,"Grams","Fruit, fruit juice"
"Jam, marmalade, other preserves, sweet spreads",3.47058327777848,0.113367333415674,0,0.344601868337619,0.00127362760991136,0.0445760943381487,0.976432828066931,2.38168100525057,0.0404048871054978,0.743844293617917,0.0603395603242298,0.000512470745229877,0.0188266002307496,0.00325805365132663,0.0230004054193425,0.13091974972644,0.0211286568803934,0.0841285447131694,0.696410082987479,0.860840611932656,0,0.171951353967684,3.25206844194253,10.2574679130834,43.5981509460107,0.0114064803109814,0.155579930864581,0.381818801964047,0.05060372086158,0.00893025944300491,1.17800447468665,0.220482606403123,0.0211286568803934,0.0102568473360153,2.32052243571758,0,0.968856291294483,0.000892340275870168,0.0379407204800843,0.0334200055337066,0.000919583064739566,0.0448162737644582,0.0332086790185925,0.0110662418727536,0.646564572190757,0.000154442120349021,0.398165380996951,0.00635290165950597,2.37060897416141,0.000257553375585837,0.0973437743818666,0.00201110805885507,0.000412279412779939,0.181005035572041,0.000200280252501115,0.0274609657588135,0.798875732327885,0.0133738894849962,0.809130216267947,0.00747901105774957,0.00813429015033131,0,0,0,0,0,0,0.0536952619955667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899707398296477,"Grams","Jam, marmalade, other preserves, sweet spreads"
"Legumes, beans, pulses",46.7380485601262,1.33988182703462,0,47.4773506726741,0.0307772675430634,0.86498586242337,18.6420631579292,6.14818708464258,0.0614786664183859,136.442004346947,0.168574677235546,0.0597391611376862,0.171333523881683,0.084776092245911,1.74429867801185,0.546334943495702,0.730342464250024,15.2472946990555,0.237182464157156,0.196087497113554,0.000594661845500564,0.494532193144407,114.078499316503,37.9152391745875,160.529393266141,4.51893646480324e-05,0.0012980824388345,13.6265932850829,0.898919191567112,0.165230926997466,75.78255464904,2.90117619915943,0.729747802404523,0.85296482678096,1.03669174394005,0.0797532896328218,42.2037366179479,0.0683626195804455,2.48056445722544,0.0275655124352997,0.0217916231162282,0.0832102533477758,1.13830148464968,4.21030521254921,1.42016662892733,0.109201124250855,48.1505239584141,0.390530234321224,1.93553743561962,0.00125661620018528,8.10506661973679,0.00129304913747071,0.0436809501232885,1.81540118247955,0.000840644966328796,0.157151930505747,34.7602845364466,0.318427043195491,0,0,0.0228935833573274,0,4.93248886872502,1.59403728259075,0,0.00359431930655959,17.9639640200277,0,16.0619887400779,0,0,0,0,0,0,0.106935867457508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106935867457508,0.106935867457508,26.9912230434729,"Grams","Legumes, beans, pulses"
"Milk and cream",312.519858713802,0.254787792385335,0,38.2751068465317,0.0677746697133076,7.73295468170369,373.868196871286,19.1984608602751,25.3421712369142,307.484335820853,1.80744080063471,0.0546525368327301,0.311076433700955,0.0257408001831542,0.191364590074754,8.01252275111134,0.173465423920862,22.8920326354632,0.650219080469671,0.732318147311718,0,84.1415273616192,502.828755266834,188.098865648518,793.24625656444,12.5672955604091,0.119947000268289,35.0939807552489,13.7335853391194,0.0375443466023356,146.202808386996,19.7452343405731,0.173465423920862,2.65728180790726,4.77479278584752,0.733156263706065,307.504386987034,1.82802023147647,11.0242348706008,78.9772959779022,0.690769567825858,5.01544533630037,3.05496498954561,0.705573386477434,3.70258810627937,0.134665746189967,38.4644254822435,1.62327115283635,18.4957481133918,0.234048982246443,85.6056478463994,2.08284628486244,0.259409362321705,5.26167987426395,0.0872853697127812,0.457673729242398,270.291156771268,1.30228743848277,2.71612895082497,0.0021551754820097,0.0973617881763485,0.045753918514934,0,0,0,0,0.377611216742878,0.138490301879476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00586703744230152,0,0.30547621300607,0.311343250448371,0,0,0.311343250448371,436.268216456971,"Grams","Milk and cream"
